Year,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. People’s Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe
1990,10.73017508,31.16281011,78.96421157,0.007698405,,31.02216455,3.225988736,13.40842825,45.41735112,10.7631709,21.42931391,20.27575938,50.73993796,8.56999773,90.11030684,6.625367023,11.38916843,6.035057553,21.64385036,13.31740259,13.89750143,7.559271418,33.6826142,12.39723369,60.10776636,6.058397465,7.833946604,1.919630401,83.62585247,8.399347592,18.42847097,44.87718005,1.393400543,6.944560397,20.73544674,43.1500029,5.200200294,0.679379847,7.956301347,,25.1362184,34.76500303,13.75773809,21.18204785,3.694462145,25.34756893,4.464839667,13.52267328,37.93585367,10.39164578,,3.226762028,35.35283131,7.650310869,12.79428817,2.42837851,8.184606547,22.03771319,38.82009107,12.18903149,62.11603127,14.99155034,34.98305394,8.096510683,8.094791727,0,3.492358053,7.606849349,26.85219339,4.947975778,86.20283585,15.60859227,34.45409264,31.87719446,22.52590382,10.71646405,20.64217438,0,10.35810053,0.065234488,16.06150037,12.79821909,4.285897615,5.69324278,22.21770022,8.807554485,6.020928756,21.27924103,2.048154336,13.10297371,17.85390499,54.91496597,71.00972787,8.706222296,,6.183109505,18.23203484,18.90443065,10.28527807,13.54259627,48.77735601,23.87005406,6.520561455,57.13268287,27.95586239,,88.65341561,12.18306886,6.384522361,29.94836734,11.56451531,19.06507681,51.07911353,88.74058811,,21.30775867,10.07634144,2.750428169,7.316956657,26.55885787,38.43770034,5.864436734,4.754924413,1.437822925,0,7.373242752,5.516096184,29.9529995,2.120080511,34.79661957,,7.668731637,,10.34275929,14.63967384,3.681920671,2.183214205,0,6.392307257,20.9144024,2.58461596,3.434860728,5.902440671,22.63413465,52.01050781,18.69416923,0.88849733,43.42101069,91.0414754,16.92796547,0,4.648803196,23.14507012,5.301149445,12.46242453,8.907720886,69.49163264,7.164311023,0,93.12354015,48.29734954,67.69162816,17.2552842,5.611267665,,36.27862476,83.91592824,17.39617654,0,3.987923241,25.01650009,40.87567465,,17.4390534,32.84114068,0.604436103,9.509507078,44.31980216,,16.46587028,5.140160769,7.36899697,4.999143405,,5.453581568,10.88110678,4.628447798,9.632833421,18.87657434,53.42859047,18.39098493,8.853817697,17.11265168,1.343989604,24.87401329,1.632253881,77.93867783,30.58442385,18.04339755,88.56479831,5.390981999,0,26.74067245,47.80745651,95.06424639,27.95178638,39.58085917,0.700012701,51.97927374,1.728013532,42.93259128,10.87224576,0,,16.96492263,5.686894641,11.41816842
1991,11.69235371,27.39470798,79.81756268,0.006967871,,36.61064152,3.173770749,13.85309691,43.97068598,10.47518282,21.99753339,20.92692733,49.60329454,7.96768622,88.94434035,6.833948134,10.0308721,5.607447306,21.03695328,12.89521097,17.48966457,6.589587493,34.38697513,13.53659221,58.34060539,7.841221479,7.183245711,1.856462264,87.46749586,6.720922711,19.08760387,44.66906653,1.283819467,7.308030504,24.19330442,42.92489558,5.38049588,1.016773057,9.212465989,,24.38055017,34.94029479,13.73294838,21.59136868,5.195884695,29.7141094,4.471486784,17.49384867,40.62290563,9.998519816,,3.337466567,34.42840601,8.69682843,13.20975279,2.385625953,7.782389279,20.48892787,38.62878118,12.32196865,82.76552974,15.50385451,34.68929713,8.083831052,10.66552829,0,2.990581034,7.642785018,27.53974743,4.606441947,87.20274499,16.66876913,33.91347205,30.27215407,24.57242418,11.46971368,20.36659876,0,10.18042299,0.059343731,15.22511815,16.62142693,4.597646235,5.141185635,21.87103569,8.32921393,6.139154542,22.00658921,2.047239599,13.54104043,10.45621434,57.18841369,52.90873884,8.500115,,5.952025522,18.86601495,18.21268996,10.45596039,12.62959463,51.42202959,24.91021522,6.510786496,57.11968619,25.63945687,,60.50148249,12.28924159,7.142262605,31.8539182,12.08720633,19.6735534,52.1886418,89.07869133,,22.14682986,9.098042697,2.661795421,8.233669254,29.07079531,43.35659043,5.785758674,5.274408165,1.426364838,0,7.428955739,5.020694712,22.40140889,2.054255458,39.44235532,,13.04655333,,10.43068421,17.72840834,4.082677469,2.2825949,0,6.493584253,21.98452203,2.768154548,3.49046079,6.848572638,22.65362431,53.22329456,19.61928844,0.777053265,46.81247253,90.24889547,17.51040629,0,4.576384724,10.07150446,5.954760826,11.95247212,8.880882861,70.5331051,7.060131229,0,93.21705372,46.82744042,69.11129542,17.1852623,5.612260061,,36.60640967,85.5357523,17.98095086,,4.472814114,27.70425151,46.74318007,,16.84866141,32.68942286,0.79237211,10.7268206,44.27161984,,16.07870451,7.221847094,8.137854573,4.9323107,,5.349061508,12.30801947,4.677385095,10.07244846,19.0541895,57.15828296,16.30410935,10.11463072,17.92095789,1.375448652,30.86584929,1.698633073,77.60077484,31.79806411,17.97143808,88.72576779,5.238667932,0,28.95333683,47.43989691,95.11520906,28.89948318,39.4609109,0.673391108,53.65062815,1.609513253,43.88643977,11.15690966,0,,18.01806269,7.577889721,14.03782117
1992,7.239429738,24.45223355,81.25918923,0.006302124,,25.61762712,3.167396124,14.21783516,43.30237893,10.41033392,23.99514544,20.30048618,49.31254901,7.022894471,89.58374093,7.029068401,9.366178998,5.951662075,19.11563023,12.58259459,15.2644998,5.334893841,51.6900039,13.27730743,57.41417958,6.075585778,6.530474276,1.863226543,79.41561122,7.861062255,18.62948488,44.26641803,1.088608407,6.769589504,21.95706212,45.24986642,5.252410041,0.828005497,8.63946997,,23.10894492,35.01450166,13.76512764,22.0007023,2.833082486,21.52796081,4.62449943,15.50329614,44.5005245,9.237367602,,3.169738367,32.25252448,8.834964063,13.43446625,2.37201957,15.73882167,19.65786396,38.14442838,13.13028071,88.51563953,16.48472255,30.11464075,7.607517719,12.13964657,0,2.829252678,7.834800642,27.34533566,4.829830815,83.13826822,17.19840457,35.67010065,30.11089698,25.96323673,13.68730881,20.94395619,0,10.05690868,0.05368777,15.47523069,8.423182497,4.27325338,6.93660901,18.8877291,8.813745199,6.365481734,20.78679738,1.988792562,13.43310264,11.53430228,57.04219676,52.91583836,7.725387299,,6.368387873,18.93553525,17.43785154,10.17062782,12.75300248,53.27240547,25.28248613,6.250284122,53.57454718,21.48012266,,90.25744642,9.808546693,5.616929459,32.25610935,12.76297372,18.09490645,49.84783177,87.81800834,,20.99334284,8.579531157,2.932363793,7.78901941,23.75770635,37.47162847,5.721607911,5.093541179,1.412809819,0,8.078382028,5.223825862,22.6311369,2.041699171,35.57217816,,11.04161571,,10.53949635,11.54830888,3.09270512,2.069829812,0,6.808807463,21.92438965,2.896142988,3.619258257,6.590219221,22.79904529,54.18609048,21.59974092,0.678225243,50.56854828,90.01846478,18.09747725,0,4.940375564,10.95135705,5.761837467,11.70535663,9.326496988,71.49915839,6.950722726,0,92.90193515,47.14180637,69.80679511,16.99322888,5.835260411,,36.86027972,85.31810174,17.37113401,,4.088512884,26.72001466,49.46764345,,17.00211171,36.44436524,1.096998906,12.24524945,43.44693549,,16.49459697,7.165318747,10.18420212,4.887724097,,5.270474206,10.81282582,4.228369485,10.44820206,19.05757673,59.85497033,15.04756463,7.652375065,17.23098144,1.315129557,30.28230015,1.791041959,78.15969371,34.29832711,17.7077763,85.20597662,3.085245183,0,27.86437143,50.43649246,94.95718149,27.58202405,39.51621247,0.630059739,55.12552142,1.432257606,43.8722166,11.17204633,0,,16.57581873,4.242679475,11.41338778
1993,7.464907309,22.39918233,80.74449564,0.005683064,,40.77449801,3.041316103,14.85480964,44.32172046,10.52251969,24.95687698,20.25919727,48.98232411,6.808108702,89.90160821,7.382241263,10.35543402,6.178686205,19.41610475,13.0572067,16.54594485,5.358228139,51.46556394,14.1326751,54.58777556,10.14916466,6.414957074,1.63632542,84.5393416,8.284475188,18.88198958,44.67770247,1.036677654,6.828756729,24.11681017,44.00527347,4.452324144,0.944074885,9.322475693,,20.87089513,36.13863945,13.63634814,22.53437259,7.295550207,34.25868404,2.081097146,17.22969771,45.26041382,7.837093721,,3.065922136,34.2438925,9.243929826,13.69790209,2.359638796,14.56740422,18.51773354,39.09934801,13.22027394,91.10054583,18.84778743,25.26894711,8.480756178,14.97158365,0,2.635492486,8.063308963,27.33048592,4.376176012,88.27675032,18.10843804,41.84495659,28.70560009,29.3242388,13.10777209,20.86500765,0,9.915469429,0.048303564,14.38810812,9.654179774,4.356394021,6.213044843,22.12389329,9.057905894,6.421306548,21.97685802,1.988610516,13.51463379,18.758572,55.73381693,51.45474637,7.827271481,,6.912014716,18.88028326,17.3133667,10.11670255,13.13592782,49.74004719,25.52079942,6.099412992,53.53584788,19.30824575,,92.84059787,8.821135294,6.494178384,35.86899046,13.16897845,19.49460845,49.10911721,87.45505647,,26.13496032,8.51832999,3.005154657,9.510344929,30.27086243,44.44411187,5.88485388,5.298971131,1.607514371,0,8.176529735,5.245448779,22.53383573,1.980982363,36.20688427,,10.15258076,,11.43481712,20.75135802,3.327462824,2.694834095,0,6.57239683,22.39826941,2.971208306,3.623926245,6.03589487,23.29349942,54.76751166,21.82251074,0.590212089,52.54971181,89.80229975,18.31769712,0,4.948391958,20.8184388,5.319420816,11.30370695,9.367168169,69.14018869,6.815739241,0,92.90002193,48.284574,69.9390744,17.76445197,5.687285868,,37.24782927,84.78485367,17.41568638,,4.179193514,26.97178845,53.78476478,,18.91951625,34.38542464,1.003125151,11.62209318,45.37493846,,15.7223442,7.122424496,8.333737328,4.714737958,,4.962954892,10.71050188,4.342721437,10.47902577,18.27489568,65.38277752,14.78556379,11.22511834,17.45767405,1.290609147,33.03447624,1.872320227,77.75578926,34.09947064,17.23234087,84.84364595,5.515670195,0,28.52955767,52.55411916,94.53074983,26.0792495,39.54542404,0.579958534,55.90077922,1.32300662,45.66070031,11.70917302,0,,17.86079494,9.812135658,15.72371926
1994,7.370873282,19.61722476,80.31522632,0.005104409,,35.4890354,3.089258733,15.87382411,47.90481125,10.63331031,21.13505498,20.16723167,49.39600744,7.03629554,89.73837889,7.533833878,9.927316093,6.356097726,17.81368091,13.15825757,16.56393447,5.329693808,50.30909688,21.01138315,22.57259399,9.017744865,7.004150827,1.64986608,87.76630229,8.240047296,19.05029545,47.34741402,1.72662785,7.629358955,17.40084363,39.41315828,4.682774747,0.939041248,9.680505515,,21.34866022,36.79185062,13.97356334,23.4415531,5.966188567,30.75275033,2.568187212,18.18025661,45.58032199,7.194426137,,4.601442647,32.7346317,9.760476234,13.97714501,2.443072586,13.2006738,21.78149115,39.46851755,12.76788812,92.55890448,18.83857933,30.40236922,8.89095274,15.37748553,0,2.513524807,7.463818191,26.4917202,3.389419224,86.98625585,18.2027296,36.71793271,28.1789699,31.1818861,13.53555707,21.06653317,0,10.0855862,0.043203585,14.6499025,10.16536483,4.524180425,5.080067934,22.78631291,8.63434505,11.75476001,22.7028394,2.016969168,13.80410027,12.18923326,57.99914913,52.35543397,7.685233879,,6.445449184,18.58094052,17.71910375,9.976991768,16.21114986,44.49265488,26.37989864,5.967000662,52.93507039,17.5588733,,93.85596406,7.265915647,6.891441778,41.47312348,13.0494788,20.28178504,48.23482054,87.38433338,,28.73362096,8.1481531,3.033069469,10.14147195,29.72021036,47.36890041,7.297875606,5.410911508,1.54303899,0,8.712191748,5.710745647,23.02012567,2.014171069,38.02047054,,10.10488305,,6.354896601,18.3990326,3.634772984,2.688358558,0,6.646728628,22.22912073,2.993332194,3.456655531,6.188630927,23.49342685,52.80699913,21.40481536,0.510260812,55.43231723,88.61831801,18.66243641,0,4.847936542,10.9654983,5.615100758,10.83042052,8.999041586,69.6522705,6.604382273,0,92.35405724,49.7993299,70.45494203,15.91996959,5.614150814,,38.24733188,84.72416223,17.81963398,,4.697154522,28.22932536,56.11380327,,20.86646148,34.6906178,0.92236796,11.299996,46.0027691,,15.44491427,7.096703288,7.263928498,4.939860874,,5.332719309,11.80154598,6.329946926,10.40594813,18.0636482,62.75077626,13.13672615,10.64135085,16.8709846,19.9906138,33.693325,2.1034506,75.3141463,37.60199874,16.69006902,76.93159995,5.568211808,0,29.68497693,52.89481196,94.51890219,23.14066267,39.6798024,0.557944331,56.69729974,1.287779818,47.96796748,11.92606352,0,,30.94757718,8.336706187,15.0370051
1995,7.15559501,17.17381841,81.64365374,0.004556543,,38.05522985,3.10697092,17.2570167,46.0272376,10.38624819,24.78018873,20.94677671,47.22388673,7.246369494,89.47429721,7.803883586,10.654369,6.482003783,17.29604414,14.1089589,15.66598038,5.285622149,45.29223518,15.55628905,24.22898458,8.16902911,6.383907547,1.676346726,85.67504455,8.572509108,18.55417445,49.46698396,1.606616707,7.231308493,16.52070248,39.67448293,4.956220044,0.7971955,9.145948717,,21.36669247,38.05132111,15.15595417,24.19866423,5.909391167,33.01683189,3.528073371,17.15928597,47.20553724,6.744477207,,4.093472135,32.77238362,10.13189548,13.78177528,2.549814173,13.66437035,21.6701855,39.98585726,13.65602029,92.6391507,18.93417519,32.28729369,9.133464255,15.25274369,0,2.369088758,7.363318444,26.49062263,3.46340746,87.65926628,18.00058555,39.72321494,28.64218743,29.42375951,12.76757166,21.38821148,0,9.928689811,0.038372637,14.9857991,11.34647713,4.310636806,4.337704757,22.73938813,8.955172263,18.60941474,23.74584273,1.917211942,14.19421835,21.46766169,57.96504863,53.73002153,7.611023198,,6.30583996,18.1159572,17.48424613,10.14264373,16.70888328,45.87936949,26.71920371,5.853954292,51.22815925,16.81681982,,93.3212331,7.244038638,6.624795118,41.92566463,13.5214881,20.97819002,47.9134433,87.64622114,,32.02491432,8.131114239,2.812383099,10.76600273,28.537793,47.15744237,8.243541165,5.160607546,1.932945401,0,8.935796304,6.338641552,29.48109085,1.886463056,39.67661476,,9.197279906,,6.666277987,18.22210292,3.396585337,2.762866159,0,6.460389317,22.36727972,2.967777759,3.486470594,6.967919988,23.70344728,54.00574036,21.91343366,0,57.6819676,88.9321135,19.03265673,0,4.580556393,27.8963415,5.139675348,10.8104491,8.973492456,69.60500439,6.250134405,0,92.28043417,51.58867339,72.27597955,27.2703363,5.792557474,,38.58395301,84.2296464,17.72679516,,5.002835469,29.37119015,55.83863105,,21.94829434,34.01262528,0.890420637,11.42773195,46.45219831,,14.71547793,7.399842758,7.190379384,5.053627255,,5.418615082,11.27536593,5.789537597,10.77180382,18.03389257,62.34059031,13.06535942,9.947158451,16.57505714,26.90880783,33.57739118,2.111939525,73.83734522,39.3759966,16.73418548,75.62924534,5.519051367,0,28.5103163,55.76018996,94.55514556,24.470989,40.02174751,0.586900519,57.74689413,1.269320675,49.73977659,13.29031559,0,,29.01810716,8.169799611,14.40502403
1996,6.700680813,17.79777093,81.81462815,0.004483741,,46.25207447,3.091481546,18.2498775,48.87613152,6.652834208,24.81245276,21.61975849,44.79385072,7.6398655,87.73773102,7.95429247,8.610284783,6.900289966,16.71360062,14.68763827,13.91544707,5.243189471,46.05353718,14.5917652,26.18361552,8.839812653,6.425398608,1.772495157,91.25247508,8.937642606,18.38166485,50.95113444,1.794242583,7.623017129,17.66705092,46.20571721,4.755419076,0.749448297,9.414072029,,22.07681027,38.47127776,15.53044489,24.8239209,7.806917121,41.15618465,4.187384033,19.02792755,47.42528295,7.348539554,,4.04072326,38.74572009,10.99940838,13.78204909,2.536525264,14.01297014,22.68120782,40.59287156,12.98091365,92.97415203,17.91353333,40.1469485,8.817891416,15.09272187,0,2.300432701,7.720667056,38.76957998,3.321182589,89.2869275,18.40729049,41.75445156,28.22878341,29.39867314,12.05487351,21.4855002,0,9.556075181,0.037544403,15.10631259,16.20193589,4.353457289,4.271527188,23.87684954,8.750526107,23.98754516,32.83842166,2.058219636,14.22939292,22.96685744,58.30943244,56.08349213,8.852322811,,5.860492318,18.02027391,18.57423693,10.56854155,16.38447926,38.06525262,28.34527939,5.80900866,54.86155571,16.602013,,93.28887881,6.688639673,8.946695303,43.48052123,13.12568327,22.53185862,49.0039254,87.54438738,,33.29467768,10.10534891,3.12397395,11.92639841,29.78365085,55.98408636,8.123004317,5.182771281,1.267144638,0,8.709504992,5.959972231,30.70197827,1.93458687,41.9044293,,2.494745703,,5.763805579,20.98887517,4.539992211,2.945998114,0,6.473449311,23.77824513,2.922033419,3.749503333,7.265368954,23.8853097,57.49813009,22.44629503,0,61.77271792,88.98059773,19.11427582,0,5.167193632,24.09795911,4.972202565,10.73456769,12.00169588,67.88579074,6.247848165,0,93.062892,52.60081019,68.99992019,27.47908509,5.751270868,,38.75766738,84.13734984,17.66725387,,4.938731717,29.6021478,56.25542412,,21.60257656,33.62050865,0.87223756,11.70626886,45.65305902,,14.61334861,8.746770002,7.755924061,4.994961175,,5.304884392,11.2118123,2.182180075,10.90259296,18.57836053,61.7077412,13.58679992,11.36904903,17.00625765,1.11717326,33.89706233,2.055561149,73.73256116,42.55772629,16.72426102,74.22902353,5.345945122,0,28.75907025,57.34403498,94.58907195,24.848341,40.629291,0.591384938,59.00684537,1.257984786,50.78900768,13.92330505,0,,28.86602861,10.49136303,13.59377638
1997,6.523964066,17.89964353,81.95877458,0.00442174,,67.023927,2.804186194,19.24698454,50.59546721,25.06529608,24.72135951,21.39995978,42.41722898,6.860477575,86.36428379,7.972389033,8.493248998,6.22876574,16.04547092,14.84661099,13.48539282,4.074835292,40.84837597,15.42857895,41.22571139,9.216053341,6.499835216,1.520462203,91.15640555,8.940549671,18.07780869,51.66752607,1.717419354,7.449306303,16.98054327,48.34898177,3.694631262,0.776531838,9.057799831,,22.75224353,38.52292959,16.69916104,25.04134015,8.612756775,43.57744742,4.456457916,19.40484784,48.11283406,8.731944459,,3.730227041,40.08250161,12.12833863,14.13353761,2.434935435,14.69887681,22.81457662,39.82331505,13.5366022,94.82266935,16.58574682,39.65809727,8.829434776,14.92137896,0,2.217228426,7.932914369,39.05733769,3.210664107,88.80787979,18.80707364,36.52121013,28.43364928,28.86855912,11.80897957,22.34367648,0,9.458659257,0.036747759,15.80961975,8.2038882,4.347552502,4.228852477,20.82670863,10.45154343,29.0192579,32.39336648,1.778309945,14.58965527,5.030706473,58.95709529,63.9336905,8.012249279,,5.840598544,17.70753538,19.07608046,9.393736878,16.58861968,50.43233891,28.60973711,5.651974982,54.35656222,17.00830192,,93.19110189,7.974662836,9.201023641,44.26738052,12.91989705,23.31162522,50.60457473,86.34879406,,33.37626605,9.295986698,2.892037506,11.53445456,30.68373245,58.14356544,7.716964225,5.142211035,1.306994476,0,8.394920541,6.360628279,31.11280275,2.039436579,43.54274669,,1.464836346,,4.311204656,21.709569,6.161271771,3.008658426,0,6.528610752,21.26044627,2.190641341,3.87676166,6.962706928,23.99672029,54.83493422,23.91232287,0,63.65234763,89.46003613,19.21094009,0,5.566623504,3.370304421,5.188617438,10.48798606,12.1602627,66.93824124,6.411600375,0,94.63193378,50.08922005,72.42617315,30.79452241,5.709469043,,39.11550296,83.93343603,17.52333226,,6.001953866,30.81354461,54.71530969,,21.36216219,37.03873249,0.862277108,12.0714417,46.6028741,,14.65910227,6.200133028,9.902753239,4.710564166,,5.100566931,10.81752076,2.309375511,10.86757312,18.49880615,62.0324297,13.85163421,11.70654676,17.49035033,1.005960662,34.60401854,1.902280601,73.99213984,46.9304395,17.53297401,65.91752724,5.116308448,0,28.53280544,59.88795362,94.22877767,25.12143004,41.69508369,0.640164103,60.20204989,1.261195984,51.69155605,14.55519257,0,,29.10400166,11.29346424,13.22211276
1998,6.47483307,18.20316381,81.72424937,0.004376195,,67.53730041,2.575246759,20.52794468,51.58125797,5.555752845,25.88311788,21.42235221,41.80423084,5.642735632,86.90420933,8.371587185,11.2339129,6.381829989,15.24334535,15.31994071,16.18243063,3.736400198,37.69933394,15.49577337,42.94969922,11.85378276,6.165371356,1.507467536,47.70554486,9.482089313,18.06991592,51.78885321,1.604899843,5.550998761,19.59874709,40.69975476,3.341614408,1.277316261,9.497774128,,23.50820392,37.20149482,18.39265232,25.02334757,7.70983487,47.79959711,5.210871093,20.29068262,46.81928254,8.211147246,,4.010502261,38.49979916,11.81358105,14.05650952,2.50037986,14.66497701,22.09799073,40.53561914,14.39815902,95.48866058,12.2934071,36.0452845,10.03593461,14.50801915,0,1.950815301,7.601396147,39.59357066,2.955657385,84.64245867,19.30212823,35.02515394,28.51425753,30.19679618,11.56086006,22.87206689,0,9.344098872,0.036061433,4.247863822,8.525515279,4.11015446,1.651479845,20.90237268,10.83040009,30.03299393,31.40149506,1.734923189,14.29196717,15.78773003,57.90624879,68.60952659,7.574145726,,5.613503718,17.21717967,18.81688915,9.544067444,16.95251883,55.77488903,28.12022869,5.622292503,54.02299387,17.4701524,,92.63412257,7.671913678,3.435649024,45.75960366,12.55686958,24.00169599,51.14952615,85.07209607,,35.09542058,9.891327288,3.011017204,11.39865143,28.76040197,45.25047142,7.837099421,4.966270004,1.143681034,0,8.319670735,6.570971071,27.1323495,2.032023528,48.19492608,,1.256740512,,5.153498687,15.96241903,6.736539452,2.999218413,0,6.559940171,21.34756312,2.0576997,3.693657716,5.850106069,23.94978438,52.84938469,25.33989073,0,63.75190031,88.8577592,19.49063492,0,5.481341313,32.70699189,5.572272414,10.01576619,13.04500806,63.36738197,6.924272702,0,94.81669534,49.88434989,64.84447494,31.66806906,5.617802518,,39.1876516,83.9941714,17.44915858,,4.865640753,32.10859228,53.13228092,,22.93890652,37.83207175,0.895910823,12.36440452,45.81249353,,14.11005466,6.187564358,8.13590438,4.614737303,,5.191124811,10.67530765,2.595107173,10.48358439,18.74566607,61.39479308,14.12823855,9.959611052,18.25375123,0.808870586,39.90721891,1.716196853,73.24498336,48.62244857,17.61115924,63.28298893,5.366362001,0,29.90803248,62.44534229,93.9776264,24.75422166,42.28126154,0.738995375,61.42651828,1.247706941,49.1821283,14.4111166,0,,27.96346256,9.746725145,12.95540945
1999,6.324854697,15.8043642,81.9822924,0.004332861,,67.6059114,2.765673036,16.07037675,52.54143711,5.033056751,25.08397511,21.59489652,43.62216228,5.560817253,86.49734636,8.454058811,13.24108315,6.101294199,14.61349848,14.63331181,16.89563791,3.963316725,31.67811578,7.729994164,40.58318683,11.44547541,7.010938131,1.587856014,91.07108176,8.747839966,9.371569402,34.58512543,1.808302061,7.154066233,18.94303082,44.68785468,3.53653164,0.853834736,9.092862947,,24.15636334,36.2080816,18.92634229,25.07672849,10.31836204,53.635524,6.213102462,24.56474169,46.94035487,9.498222953,,4.061369207,35.88585428,12.45794926,13.95030518,2.752947011,16.41393008,21.2384698,40.95912226,13.65445892,95.6006392,12.13370114,35.45544386,11.43970573,14.4413179,0,2.361585412,7.472269377,39.65324803,2.894615411,88.3386135,19.22380961,34.5178365,28.58968648,31.87529503,11.18939455,23.06919151,0,9.150862542,0.035352425,16.46172576,14.95442815,3.820086142,5.906822519,20.75662289,9.688181404,29.85919193,29.9990557,1.636524035,14.15400187,25.21582502,59.1667157,71.47724315,8.043502573,,5.3215652,16.80911932,19.26253239,9.805306865,16.88854739,57.863574,27.34181872,5.591645494,56.75304433,18.53792801,,91.82043911,7.476061861,4.025021956,47.92194414,12.30499529,24.45059715,52.30453701,84.47527368,,36.13595033,10.13307068,3.260592811,10.32131481,30.94222603,59.63532979,7.931980572,5.057557166,1.01843953,0,8.016536015,7.184671019,29.80416994,2.060936437,50.08360892,,1.718503523,,4.612002468,17.82193953,5.932608157,2.575869248,0,6.525794162,20.61978419,2.184139435,3.84019405,6.790768264,24.07283636,51.74397714,28.7809547,0,65.44571092,89.24934631,19.90604732,0,5.874205219,31.61111525,3.975554133,10.03364072,12.19801324,62.78060004,7.525134428,0,95.61512425,48.74825146,72.0953417,31.06146736,5.583111955,,39.43768713,83.34408889,16.58760407,,5.073826523,37.67797439,51.43653902,,22.49334768,35.97631812,0.936821716,12.65549207,45.60698329,,12.80417028,5.776800008,6.839767941,4.640412589,,5.113130784,9.939519088,3.19634038,10.05478843,18.13083668,62.33982189,14.09813297,12.77888313,18.87394342,1.072328608,40.45851956,1.569643505,75.56514523,49.14906013,16.90625433,69.28307412,5.393719127,0,28.72403244,63.62080131,93.50377325,25.25000746,41.83370155,0.793236742,61.07602309,1.23158939,50.70465797,14.58899358,0,,29.42646215,10.91061343,12.51925245
